user_id,signup_date,country,company_size,plan_type,monthly_price,sessions_per_month,feature_usage_score,support_tickets,payment_failures,last_active_date,churned,churn_date,tenure_months,total_revenue,ltv_12m,industry,acquisition_channel,billing_period,seats_purchased,discount_pct,payment_method
U0000015,2024-03-03,IN,15,Business,468.20,28,49,1,0,2025-12-31,0,NULL,22,10300.35,5618,Logistics,organic,monthly,5,3.08,card
U0000016,2024-01-26,US,24,Pro,144.00,32,25,1,0,2025-06-30,1,2025-06-30,18,2592.03,1728,DevTools,partner,annual,6,18.99,card
U0000017,2025-01-07,US,22,Starter,74.54,12,22,2,0,2025-12-31,0,NULL,12,894.45,894,Health,paid,monthly,5,8.17,card
U0000018,2024-07-14,US,16,Pro,176.18,22,39,0,0,2025-12-31,0,NULL,18,3171.22,2114,DevTools,organic,monthly,4,7.39,card
U0000019,2024-07-15,IN,13,Business,452.17,8,15,1,0,2025-12-31,0,NULL,18,8138.98,5426,SaaS,organic,monthly,4,5.47,card
U0000020,2024-02-12,US,20,Pro,184.51,27,45,1,0,2025-12-31,0,NULL,23,4243.82,2214,EdTech,outbound,annual,6,5.75,card
U0000021,2024-03-07,US,30,Business,506.29,45,52,1,0,2025-12-31,0,NULL,22,11138.41,6075,DevTools,outbound,monthly,8,3.33,card
U0000022,2024-06-03,AU,30,Pro,250.18,42,96,0,0,2025-12-31,0,NULL,19,4753.42,3002,SaaS,paid,monthly,8,8.31,card
U0000023,2024-04-22,CA,32,Starter,75.52,15,10,0,0,2025-07-31,1,2025-07-31,16,1208.29,906,DevTools,organic,monthly,7,18.94,card
U0000024,2025-01-08,US,64,Pro,289.77,51,33,0,0,2025-11-30,1,2025-11-30,11,3187.51,3188,Logistics,organic,monthly,15,6.93,card
U0000025,2024-08-09,AU,39,Starter,101.31,17,48,0,0,2025-12-31,0,NULL,17,1722.32,1216,E-commerce,organic,monthly,10,16.24,card
U0000026,2024-08-16,FR,73,Business,720.59,36,30,3,0,2025-12-31,0,NULL,17,12249.99,8647,Health,paid,monthly,20,7.79,invoice
U0000027,2024-02-25,US,80,Business,606.10,71,42,2,0,2025-12-31,0,NULL,23,13940.40,7273,DevTools,paid,annual,28,26.36,card
U0000028,2024-01-24,DE,10,Starter,63.50,19,51,1,1,2025-12-31,0,NULL,24,1523.93,762,E-commerce,organic,monthly,3,13.84,card
U0000029,2024-04-01,GB,23,Starter,61.25,12,15,1,0,2025-12-31,0,NULL,21,1286.23,735,Media,partner,monthly,4,9.47,card
U0000030,2024-08-07,IN,23,Pro,208.00,32,46,0,0,2025-12-31,0,NULL,17,3535.95,2496,SaaS,partner,monthly,7,6.89,card
U0000031,2024-12-28,NL,27,Pro,210.94,26,15,2,0,2025-12-31,0,NULL,13,2742.25,2531,Media,paid,monthly,7,10.25,card
U0000032,2024-02-22,US,11,Starter,50.14,23,46,1,0,2025-12-31,0,NULL,23,1153.18,602,EdTech,partner,monthly,2,15.97,card
U0000033,2024-11-19,US,194,Business,1069.05,44,24,1,1,2025-12-31,0,NULL,14,14966.73,12829,Logistics,organic,annual,63,13.80,invoice
U0000034,2024-10-01,US,3,Starter,46.94,8,26,2,0,2024-12-31,1,2024-12-31,3,140.82,141,E-commerce,paid,monthly,1,9.44,card
U0000035,2024-09-02,FR,12,Business,421.12,27,43,0,0,2025-12-31,0,NULL,16,6737.93,5053,FinTech,marketplace,monthly,4,8.13,card
U0000036,2025-01-01,US,39,Pro,195.39,64,78,1,0,2025-12-31,0,NULL,12,2344.66,2345,E-commerce,organic,annual,9,10.11,card
U0000037,2025-01-10,US,4,Starter,44.06,14,41,3,0,2025-12-31,0,NULL,12,528.66,529,Logistics,outbound,annual,1,0.64,card
U0000038,2025-01-27,US,16,Starter,66.35,12,21,0,0,2025-12-31,0,NULL,12,796.18,796,Health,organic,monthly,4,8.02,card
U0000039,2024-10-06,IN,25,Starter,74.37,33,82,0,0,2025-12-31,0,NULL,15,1115.52,892,DevTools,organic,monthly,5,6.07,card
U0000040,2024-09-01,CA,11,Pro,174.13,23,23,1,0,2025-09-30,1,2025-09-30,13,2263.63,2090,Logistics,paid,monthly,3,9.68,card
U0000041,2024-02-11,US,40,Pro,202.15,26,30,1,0,2025-12-31,0,NULL,23,4649.43,2426,DevTools,paid,monthly,8,13.59,invoice
U0000042,2024-12-24,US,4,Starter,47.78,10,63,0,0,2025-12-31,0,NULL,13,621.18,573,DevTools,paid,annual,1,2.02,card
U0000043,2024-05-28,US,7,Starter,55.76,15,15,3,0,2024-06-30,1,2024-06-30,2,111.52,112,SaaS,outbound,monthly,2,0.96,card
U0000044,2024-05-18,US,126,Pro,374.37,27,28,0,0,2025-12-31,0,NULL,20,7487.39,4492,SaaS,organic,annual,26,19.36,card
U0000045,2024-03-07,IN,25,Starter,69.45,22,50,0,0,2025-12-31,0,NULL,22,1527.87,833,SaaS,organic,annual,6,12.65,card
U0000046,2024-02-18,US,27,Pro,211.22,22,16,2,0,2025-12-31,0,NULL,23,4858.04,2535,DevTools,organic,monthly,7,5.82,card
U0000047,2024-06-05,DE,3,Pro,138.80,19,53,0,0,2024-09-30,1,2024-09-30,4,555.21,555,Health,organic,monthly,1,2.04,card
U0000048,2024-07-23,US,12,Starter,56.80,25,54,1,0,2025-12-31,0,NULL,18,1022.31,682,E-commerce,paid,monthly,3,13.31,invoice
U0000049,2024-08-08,US,37,Pro,275.85,39,69,0,1,2025-12-31,0,NULL,17,4689.47,3310,E-commerce,partner,monthly,12,6.89,card
U0000050,2024-06-21,US,7,Starter,45.29,23,45,4,1,2025-12-31,0,NULL,19,860.44,543,E-commerce,paid,monthly,1,11.40,card
U0000051,2024-01-20,CA,9,Pro,168.15,17,44,1,2,2024-02-29,1,2024-02-29,2,336.30,336,Logistics,paid,monthly,2,5.08,card
U0000052,2024-09-24,FR,55,Starter,84.14,10,13,2,0,2025-12-31,0,NULL,16,1346.32,1010,SaaS,partner,monthly,9,18.23,card
U0000053,2024-03-24,GB,7,Starter,44.23,20,63,0,0,2025-12-31,0,NULL,22,973.14,531,EdTech,organic,annual,1,11.43,card
U0000054,2025-01-19,US,22,Starter,52.77,18,28,2,0,2025-12-31,0,NULL,12,633.27,633,DevTools,marketplace,annual,4,15.25,card
U0000055,2024-09-20,US,15,Business,408.76,28,46,0,0,2025-12-31,0,NULL,16,6540.22,4905,DevTools,paid,monthly,4,12.13,card
U0000056,2024-04-28,GB,6,Starter,48.92,15,35,2,0,2025-05-31,1,2025-05-31,14,684.86,587,DevTools,organic,monthly,1,6.65,card
U0000057,2024-05-08,US,22,Starter,60.49,17,41,0,0,2025-12-31,0,NULL,20,1209.78,726,SaaS,marketplace,monthly,4,12.78,card
U0000058,2024-12-13,DE,29,Starter,81.91,18,36,0,0,2025-09-30,1,2025-09-30,10,819.13,819,DevTools,partner,monthly,7,6.91,invoice
U0000059,2024-12-04,IN,3,Starter,47.77,5,25,1,0,2025-12-31,0,NULL,13,620.96,573,E-commerce,paid,monthly,1,4.96,card
U0000060,2024-02-12,US,60,Pro,305.67,33,30,2,0,2024-04-30,1,2024-04-30,3,917.02,917,SaaS,organic,monthly,16,6.45,card
U0000061,2025-01-19,NL,9,Starter,54.17,7,17,0,0,2025-12-31,0,NULL,12,650.03,650,E-commerce,outbound,annual,2,4.12,card
U0000062,2024-05-04,GB,10,Pro,110.38,32,55,1,1,2025-12-31,0,NULL,20,2207.61,1325,SaaS,organic,annual,2,21.23,card
U0000063,2025-01-24,SG,26,Starter,83.16,23,65,3,0,2025-12-31,0,NULL,12,997.93,998,DevTools,organic,monthly,6,4.35,card
U0000064,2024-11-27,SG,44,Pro,239.88,36,39,2,0,2025-12-31,0,NULL,14,3358.28,2879,SaaS,outbound,monthly,10,11.62,card
U0000065,2024-06-01,US,59,Business,791.56,34,17,1,0,2025-12-31,0,NULL,19,15039.72,9499,EdTech,marketplace,monthly,19,7.76,card
U0000066,2024-04-09,CA,5,Starter,58.74,6,8,0,0,2025-05-31,1,2025-05-31,14,822.29,705,Logistics,marketplace,monthly,1,1.03,card
U0000067,2024-10-07,US,21,Business,401.31,32,43,0,0,2025-12-31,0,NULL,15,6019.67,4816,Media,organic,monthly,6,12.42,card
U0000068,2024-09-26,FR,52,Pro,271.24,21,21,1,0,2025-01-31,1,2025-01-31,5,1356.18,1356,Health,marketplace,monthly,13,8.36,invoice
U0000069,2024-09-23,BR,12,Starter,56.05,18,22,3,0,2025-12-31,0,NULL,16,896.76,673,SaaS,outbound,monthly,2,8.14,card
U0000070,2024-06-15,GB,11,Business,465.49,26,25,0,0,2025-12-31,0,NULL,19,8844.38,5586,Health,organic,monthly,4,8.38,card
U0000071,2024-07-12,CA,20,Starter,74.68,39,80,0,0,2025-12-31,0,NULL,18,1344.26,896,Health,marketplace,monthly,5,12.30,card
U0000072,2024-07-08,CA,57,Pro,237.01,36,53,0,0,2025-12-31,0,NULL,18,4266.12,2844,SaaS,organic,monthly,12,18.75,card
U0000073,2024-10-15,US,50,Pro,285.44,28,47,1,1,2025-12-31,0,NULL,15,4281.58,3425,EdTech,outbound,monthly,14,9.08,card
U0000074,2025-01-17,US,32,Starter,94.58,32,69,0,0,2025-12-31,0,NULL,12,1134.99,1135,DevTools,paid,monthly,7,5.02,card
U0000075,2024-09-28,US,19,Pro,191.29,11,19,1,0,2025-01-31,1,2025-01-31,5,956.46,956,Media,organic,monthly,6,5.15,card
U0000076,2024-11-04,GB,8,Pro,134.40,32,64,0,0,2025-12-31,0,NULL,14,1881.58,1613,EdTech,paid,annual,2,5.85,card
U0000077,2024-12-14,IN,10,Starter,49.13,22,33,1,0,2025-12-31,0,NULL,13,638.74,590,E-commerce,organic,monthly,2,18.28,card
U0000078,2024-11-09,US,4,Starter,49.79,14,51,2,0,2025-12-31,0,NULL,14,697.03,597,Health,marketplace,monthly,1,12.03,card
U0000079,2024-03-25,DE,80,Starter,102.39,44,75,0,0,2025-12-31,0,NULL,22,2252.67,1229,DevTools,organic,monthly,18,28.90,card
U0000080,2024-08-17,GB,34,Starter,80.09,27,68,1,0,2025-12-31,0,NULL,17,1361.50,961,EdTech,organic,monthly,5,4.60,card
U0000081,2024-12-13,US,21,Starter,76.86,20,50,0,0,2025-12-31,0,NULL,13,999.17,922,SaaS,partner,monthly,5,6.27,card
U0000082,2025-01-04,IN,17,Starter,57.34,28,70,0,0,2025-12-31,0,NULL,12,688.03,688,SaaS,partner,annual,3,14.42,card
U0000083,2024-03-19,US,31,Starter,73.10,16,19,1,0,2025-12-31,0,NULL,22,1608.27,877,SaaS,marketplace,annual,7,8.04,card
U0000084,2025-01-03,IN,3,Starter,45.82,16,33,3,0,2025-09-30,1,2025-09-30,9,412.41,412,FinTech,partner,monthly,1,14.12,card
U0000085,2024-03-28,US,87,Pro,371.08,34,60,3,0,2025-06-30,1,2025-06-30,16,5937.32,4453,SaaS,outbound,monthly,25,16.59,card
U0000086,2024-02-10,GB,43,Business,620.76,38,28,0,0,2025-12-31,0,NULL,23,14277.38,7449,SaaS,paid,annual,16,7.46,card
U0000087,2024-10-10,US,10,Starter,59.19,11,27,0,0,2025-12-31,0,NULL,15,887.85,710,DevTools,organic,annual,2,1.52,card
U0000088,2024-03-22,IN,19,Pro,192.10,20,13,0,0,2025-04-30,1,2025-04-30,14,2689.40,2305,DevTools,outbound,monthly,4,7.56,card
U0000089,2024-02-21,CA,178,Starter,168.56,33,60,0,0,2025-12-31,0,NULL,23,3876.78,2023,EdTech,organic,annual,36,27.06,invoice
U0000090,2024-05-06,US,49,Starter,96.09,15,9,2,0,2025-12-31,0,NULL,20,1921.84,1153,E-commerce,outbound,monthly,10,6.83,invoice
U0000091,2024-04-14,US,96,Starter,154.07,30,34,1,0,2025-12-31,0,NULL,21,3235.47,1849,Logistics,paid,monthly,20,10.48,card
U0000092,2024-08-27,US,25,Starter,70.77,15,19,1,0,2025-09-30,1,2025-09-30,14,990.81,849,E-commerce,organic,monthly,4,3.80,card
U0000093,2024-09-09,BR,10,Starter,64.20,14,40,0,0,2025-12-31,0,NULL,16,1027.14,770,E-commerce,paid,monthly,2,4.93,card
U0000094,2024-11-27,BR,15,Pro,176.83,19,48,2,1,2025-12-31,0,NULL,14,2475.64,2122,EdTech,organic,monthly,4,6.49,card
U0000095,2024-11-26,BR,63,Pro,259.52,39,26,4,0,2025-12-31,0,NULL,14,3633.25,3114,SaaS,organic,annual,13,7.46,card
U0000096,2024-07-03,FR,28,Business,438.35,44,58,0,0,2025-12-31,0,NULL,18,7890.21,5260,FinTech,paid,monthly,9,24.43,card
U0000097,2024-01-28,US,13,Starter,67.66,15,52,1,0,2025-12-31,0,NULL,24,1623.83,812,Health,outbound,monthly,3,4.42,card
U0000098,2025-01-07,GB,2,Starter,54.56,6,27,3,0,2025-03-31,1,2025-03-31,3,163.67,164,SaaS,partner,monthly,1,0.66,card
U0000099,2024-03-25,CA,48,Business,602.62,57,54,0,0,2025-12-31,0,NULL,22,13257.65,7231,SaaS,partner,monthly,13,10.46,invoice
U0000100,2024-05-15,US,58,Pro,293.10,39,37,1,0,2025-12-31,0,NULL,20,5862.03,3517,E-commerce,paid,monthly,16,11.71,card
U0000101,2024-07-07,US,22,Starter,60.85,17,27,2,0,2024-10-31,1,2024-10-31,4,243.40,243,DevTools,paid,monthly,4,16.94,card
U0000102,2025-01-12,DE,23,Pro,179.29,27,42,1,1,2025-12-31,0,NULL,12,2151.47,2151,FinTech,partner,monthly,5,17.64,card
U0000103,2024-11-15,US,20,Starter,46.42,14,34,2,1,2025-12-31,0,NULL,14,649.85,557,SaaS,outbound,annual,3,14.47,card
U0000104,2024-08-10,US,6,Starter,55.62,7,23,1,0,2025-12-31,0,NULL,17,945.56,667,FinTech,paid,monthly,1,4.37,card
U0000105,2025-01-14,IN,30,Starter,72.15,20,67,0,0,2025-12-31,0,NULL,12,865.80,866,Media,marketplace,monthly,4,10.34,card
U0000106,2024-10-16,FR,6,Starter,52.07,22,65,0,0,2025-12-31,0,NULL,15,781.05,625,SaaS,organic,monthly,1,7.20,card
U0000107,2024-10-28,IN,21,Pro,205.28,16,16,0,1,2025-12-31,0,NULL,15,3079.26,2463,Logistics,partner,monthly,4,5.99,invoice
U0000108,2024-04-18,CA,27,Pro,201.91,25,39,0,0,2025-12-31,0,NULL,21,4240.12,2423,SaaS,partner,monthly,6,6.71,card
U0000109,2024-06-11,CA,22,Business,493.90,46,31,2,0,2025-12-31,0,NULL,19,9384.01,5927,Media,organic,monthly,8,13.54,invoice
U0000110,2024-08-08,US,7,Starter,50.47,7,27,4,0,2024-09-30,1,2024-09-30,2,100.94,101,FinTech,organic,monthly,1,12.87,card
U0000111,2024-03-15,CA,9,Starter,47.60,15,25,3,0,2025-04-30,1,2025-04-30,14,666.37,571,E-commerce,paid,monthly,2,19.56,card
U0000112,2024-11-14,US,31,Pro,202.40,49,89,1,0,2025-12-31,0,NULL,14,2833.54,2429,SaaS,organic,monthly,7,15.15,card
U0000113,2024-04-26,US,6,Starter,46.42,5,10,0,0,2025-11-30,1,2025-11-30,20,928.36,557,E-commerce,outbound,monthly,1,9.03,card
U0000114,2024-12-14,US,8,Starter,50.14,14,12,3,0,2025-12-31,0,NULL,13,651.85,602,DevTools,partner,monthly,2,15.80,card
U0000115,2024-08-04,US,36,Business,529.99,49,57,2,0,2025-12-31,0,NULL,17,9009.88,6360,DevTools,paid,monthly,13,8.98,card
U0000116,2024-12-07,CA,13,Pro,167.49,40,84,0,0,2025-12-31,0,NULL,13,2177.37,2010,Logistics,organic,monthly,4,0.95,card
U0000117,2024-02-25,US,33,Pro,241.58,35,51,0,0,2025-12-31,0,NULL,23,5556.24,2899,SaaS,partner,monthly,10,12.74,card
U0000118,2025-01-16,US,20,Pro,197.63,18,30,4,0,2025-12-31,0,NULL,12,2371.55,2372,SaaS,organic,monthly,5,2.16,card
U0000119,2024-06-17,IN,25,Starter,78.07,11,23,2,0,2025-02-28,1,2025-02-28,9,702.67,703,E-commerce,partner,monthly,6,7.35,invoice
U0000120,2024-02-19,NL,16,Starter,67.74,18,51,1,1,2025-12-31,0,NULL,23,1557.94,813,FinTech,paid,monthly,4,0.23,card
U0000121,2024-04-06,CA,7,Business,426.41,26,40,2,0,2025-12-31,0,NULL,21,8954.61,5117,EdTech,organic,monthly,2,4.72,card
U0000122,2024-11-02,NL,5,Starter,51.05,11,36,1,0,2025-05-31,1,2025-05-31,7,357.32,357,E-commerce,marketplace,monthly,1,3.04,card
U0000123,2024-02-15,IN,42,Pro,248.62,39,38,4,0,2025-12-31,0,NULL,23,5718.27,2983,DevTools,outbound,annual,11,5.90,card
U0000124,2024-07-23,NL,34,Business,586.93,54,70,1,0,2025-12-31,0,NULL,18,10564.82,7043,Media,paid,monthly,11,7.95,card
U0000125,2024-10-27,CA,10,Pro,171.93,28,53,0,0,2025-12-31,0,NULL,15,2578.98,2063,EdTech,paid,monthly,3,8.28,card
U0000126,2024-09-27,IN,125,Business,1023.78,63,45,0,1,2024-11-30,1,2024-11-30,3,3071.34,3071,DevTools,paid,annual,45,9.70,card
U0000127,2025-01-21,IN,29,Pro,194.31,42,73,0,0,2025-12-31,0,NULL,12,2331.71,2332,DevTools,organic,monthly,7,17.59,card
U0000128,2024-04-21,US,25,Starter,76.99,28,56,3,1,2025-12-31,0,NULL,21,1616.82,924,SaaS,organic,monthly,4,3.65,card
U0000129,2024-01-17,US,39,Starter,87.49,27,54,3,0,2025-12-31,0,NULL,24,2099.79,1050,SaaS,organic,monthly,8,7.32,card
U0000130,2024-01-16,FR,10,Starter,59.14,18,63,2,0,2025-08-31,1,2025-08-31,20,1182.88,710,E-commerce,marketplace,monthly,3,9.74,card
U0000131,2024-03-08,US,11,Pro,169.40,22,23,3,0,2025-06-30,1,2025-06-30,16,2710.45,2033,EdTech,paid,monthly,3,14.68,card
U0000132,2024-02-23,BR,12,Starter,63.42,11,47,2,1,2025-12-31,0,NULL,23,1458.56,761,Logistics,organic,monthly,3,6.78,card
U0000133,2024-01-16,US,19,Enterprise,1262.81,45,59,0,0,2025-12-31,0,NULL,24,30307.48,15154,SaaS,partner,monthly,9,4.95,card
U0000134,2025-01-05,US,55,Starter,101.88,29,72,2,0,2025-12-31,0,NULL,12,1222.51,1223,DevTools,organic,monthly,12,11.04,card
U0000135,2024-08-09,US,43,Business,562.63,53,59,1,0,2025-12-31,0,NULL,17,9564.72,6752,SaaS,paid,monthly,16,17.45,card
U0000136,2024-12-11,US,9,Starter,61.20,29,74,0,0,2025-12-31,0,NULL,13,795.63,734,Logistics,partner,monthly,2,3.66,card
U0000137,2024-07-21,IN,62,Enterprise,1622.94,54,37,1,0,2025-10-31,1,2025-10-31,16,25967.08,19475,E-commerce,partner,monthly,28,14.71,card
U0000138,2024-04-28,US,387,Pro,906.59,49,32,1,0,2025-12-31,0,NULL,21,19038.38,10879,FinTech,organic,annual,109,23.12,invoice
U0000139,2024-02-24,IN,10,Starter,59.85,16,19,1,0,2024-11-30,1,2024-11-30,10,598.49,598,FinTech,organic,monthly,3,15.45,card
U0000140,2024-06-22,SG,100,Pro,292.47,35,42,0,0,2025-12-31,0,NULL,19,5556.96,3510,FinTech,partner,annual,23,16.58,card
U0000141,2025-01-27,US,6,Starter,37.27,17,65,0,0,2025-12-31,0,NULL,12,447.29,447,Logistics,partner,annual,1,9.85,card
U0000142,2024-04-05,NL,13,Pro,178.55,32,59,1,0,2025-12-31,0,NULL,21,3749.47,2143,FinTech,partner,annual,3,3.92,card
U0000143,2024-02-17,CA,25,Pro,237.97,32,58,2,1,2025-12-31,0,NULL,23,5473.39,2856,SaaS,paid,monthly,7,3.72,card
U0000144,2024-02-07,US,2,Starter,51.56,5,32,1,1,2025-12-31,0,NULL,23,1185.91,619,Health,organic,monthly,1,6.44,card
U0000145,2024-06-06,IN,17,Business,474.17,34,26,0,0,2025-08-31,1,2025-08-31,15,7112.62,5690,SaaS,paid,monthly,6,9.60,card
U0000146,2024-12-21,US,32,Starter,77.80,45,76,0,0,2025-12-31,0,NULL,13,1011.40,934,DevTools,organic,annual,8,10.78,card
U0000147,2024-07-05,US,70,Starter,130.76,13,19,1,0,2025-12-31,0,NULL,18,2353.72,1569,SaaS,organic,monthly,14,8.24,card
U0000148,2024-09-17,US,33,Business,518.33,38,32,2,1,2025-12-31,0,NULL,16,8293.36,6220,SaaS,marketplace,monthly,9,6.29,card
U0000149,2024-06-13,US,35,Pro,244.71,42,85,0,0,2025-12-31,0,NULL,19,4649.57,2937,EdTech,paid,monthly,10,7.55,card
U0000150,2024-01-14,US,3,Starter,58.48,12,23,1,0,2025-12-31,0,NULL,24,1403.58,702,DevTools,organic,monthly,1,3.29,card
U0000151,2024-06-02,US,21,Starter,57.44,14,18,0,0,2025-12-31,0,NULL,19,1091.27,689,Health,marketplace,annual,4,11.67,card
U0000152,2024-03-05,DE,17,Enterprise,1420.82,25,17,2,0,2025-04-30,1,2025-04-30,14,19891.50,17050,SaaS,partner,monthly,7,2.38,card
U0000153,2024-02-24,GB,240,Business,1527.07,76,46,3,1,2025-12-31,0,NULL,23,35122.53,18325,SaaS,organic,annual,86,12.88,invoice
U0000154,2024-08-08,DE,81,Pro,331.03,45,64,1,0,2025-12-31,0,NULL,17,5627.49,3972,Media,organic,annual,23,15.17,card
U0000155,2024-03-19,BR,10,Starter,55.58,14,29,2,1,2025-12-31,0,NULL,22,1222.83,667,E-commerce,partner,monthly,2,13.28,card
U0000156,2024-12-16,IN,78,Business,717.14,36,31,2,0,2025-12-31,0,NULL,13,9322.82,8606,FinTech,organic,monthly,25,16.73,card
U0000157,2024-10-22,US,7,Pro,159.40,29,78,0,0,2025-12-31,0,NULL,15,2390.97,1913,SaaS,marketplace,monthly,2,0.55,card
U0000158,2025-01-11,AU,39,Pro,219.88,37,43,1,0,2025-10-31,1,2025-10-31,10,2198.84,2199,SaaS,outbound,monthly,8,12.47,card
U0000159,2024-01-03,IN,8,Starter,56.92,11,11,2,0,2024-02-29,1,2024-02-29,2,113.84,114,DevTools,organic,monthly,1,2.66,card
U0000160,2024-03-23,BR,84,Business,775.23,37,31,2,1,2025-12-31,1,2025-12-31,22,17054.97,9303,DevTools,organic,monthly,29,10.35,card
U0000161,2025-01-19,US,38,Pro,283.24,46,64,0,0,2025-12-31,0,NULL,12,3398.85,3399,SaaS,marketplace,monthly,11,5.63,card
U0000162,2024-08-14,NL,82,Pro,313.04,41,72,1,0,2025-12-31,0,NULL,17,5321.60,3756,DevTools,partner,monthly,20,20.15,card
U0000163,2024-08-01,DE,48,Starter,77.07,13,23,2,1,2025-12-31,0,NULL,17,1310.25,925,E-commerce,outbound,monthly,7,14.57,card
U0000164,2024-01-25,GB,21,Starter,63.76,14,41,1,0,2024-07-31,1,2024-07-31,7,446.33,446,Media,organic,monthly,4,2.40,card
U0000165,2025-01-17,GB,11,Starter,58.63,16,69,0,0,2025-12-31,0,NULL,12,703.51,704,SaaS,marketplace,monthly,3,10.34,invoice
U0000166,2024-03-11,US,17,Starter,68.58,13,48,2,0,2025-03-31,1,2025-03-31,13,891.49,823,Media,organic,monthly,4,3.10,card
U0000167,2024-08-23,CA,24,Starter,65.04,17,38,0,0,2025-12-31,0,NULL,17,1105.63,780,FinTech,partner,monthly,4,8.57,card
U0000168,2024-03-24,DE,37,Pro,218.29,39,47,2,0,2025-12-31,0,NULL,22,4802.48,2620,E-commerce,marketplace,monthly,10,18.05,card
U0000169,2024-07-23,BR,38,Starter,74.45,19,22,3,0,2025-12-31,0,NULL,18,1340.18,893,DevTools,organic,annual,8,12.20,card
U0000170,2024-06-07,GB,22,Business,491.50,22,9,0,2,2025-12-31,0,NULL,19,9338.48,5898,SaaS,marketplace,monthly,6,6.00,card
U0000171,2025-01-25,US,44,Starter,114.08,39,58,1,0,2025-12-31,0,NULL,12,1368.96,1369,E-commerce,paid,monthly,11,7.99,card
U0000172,2024-05-13,US,9,Pro,166.64,18,42,0,0,2025-12-31,1,2025-12-31,20,3332.85,2000,DevTools,organic,annual,3,1.86,card
U0000173,2024-05-11,US,27,Pro,239.95,42,55,3,1,2025-12-31,0,NULL,20,4798.90,2879,FinTech,outbound,monthly,8,8.91,card
U0000174,2024-10-12,GB,5,Pro,138.86,10,81,0,0,2025-12-31,0,NULL,15,2082.96,1666,DevTools,paid,monthly,1,13.90,card
U0000175,2024-05-13,IN,30,Business,595.86,41,33,2,0,2025-12-31,0,NULL,20,11917.30,7150,SaaS,paid,monthly,10,4.31,invoice
U0000176,2024-07-22,FR,18,Starter,63.50,17,39,1,0,2025-12-31,0,NULL,18,1142.94,762,DevTools,organic,monthly,4,4.15,card
U0000177,2024-08-22,US,95,Business,691.27,44,37,0,0,2025-12-31,0,NULL,17,11751.63,8295,Logistics,marketplace,monthly,26,7.46,card
U0000178,2024-05-13,US,13,Pro,157.92,46,76,0,0,2025-12-31,0,NULL,20,3158.46,1895,SaaS,outbound,monthly,3,8.65,card
U0000179,2024-06-09,DE,12,Starter,50.64,21,29,2,0,2025-12-31,0,NULL,19,962.22,608,E-commerce,organic,monthly,2,11.76,card
U0000180,2024-12-09,IN,4,Starter,45.51,8,17,3,0,2025-08-31,1,2025-08-31,9,409.55,410,E-commerce,paid,annual,1,5.25,card
U0000181,2024-03-13,CA,46,Starter,97.90,30,57,0,0,2025-12-31,0,NULL,22,2153.72,1175,DevTools,paid,monthly,10,10.06,card
